站点名,经度,纬度,海拔高度,时间,平均气温
﻿上瓦伟村,100.79,24.67,1597,2020年01月01日00:00,12.1
﻿菠萝村,100.67,24.76,1946,2020年01月01日00:00,11.2
﻿中仓村,100.6,24.69,1839,2020年01月01日00:00,12
﻿勐涝村,100.68,24.63,1687,2020年01月01日00:00,12.3
﻿路东村,100.93,24.15,1482,2020年01月01日00:00,13.2
﻿利月村,100.75,24.51,1578,2020年01月01日00:00,12.1
﻿竹蓬村,100.85,24.25,1195,2020年01月01日00:00,11.8
﻿黄草岭村,100.76,24.38,2188,2020年01月01日00:00,10.2
﻿三岔河村,100.65,24.71,1452,2020年01月01日00:00,12
﻿五里村,100.44,24.68,1287,2020年01月01日00:00,13.6
﻿多依树村,100.88,24.61,1447,2020年01月01日00:00,10.4
﻿勐片村,100.66,24.3,1286,2020年01月01日00:00,12.3
﻿都拉村,100.97,24.23,1136,2020年01月01日00:00,14
﻿小芹菜塘村,100.52,24.07,1987,2020年01月01日00:00,13
﻿九甲,101.23,24.19,1814,2020年01月01日00:00,12.6
﻿者东,101.28,24,1027,2020年01月01日00:00,14.5
﻿和平,101.42,23.93,1739,2020年01月01日00:00,13.5
﻿按板,100.89,23.86,1224,2020年01月01日00:00,13.2
﻿振太,100.66,23.94,1544,2020年01月01日00:00,12
﻿勐大,100.83,24.04,1289,2020年01月01日00:00,13.4
﻿民乐,100.48,23.69,1114,2020年01月01日00:00,14
﻿永平,100.32,23.33,1328,2020年01月01日00:00,13
﻿勐班,100.36,23.11,1190,2020年01月01日00:00,13.8
﻿龙潭,100.66,22.68,1068,2020年01月01日00:00,15.4
﻿六顺,100.73,22.62,1255,2020年01月01日00:00,14.5
﻿嘉禾,101.91,22.73,1386.4,2020年01月01日00:00,16.6
﻿曲水,102.19,22.49,548,2020年01月01日00:00,19.1
﻿整董,101.51,22.49,882.7,2020年01月01日00:00,17.1
﻿康平,101.37,22.69,927.3,2020年01月01日00:00,16.5
﻿宝藏,101.65,22.68,815,2020年01月01日00:00,17.6
﻿富东,100,23.12,2030,2020年01月01日00:00,11.3
﻿雪林,99.56,23.03,1795,2020年01月01日00:00,12.6
﻿竹塘,99.81,22.72,1520,2020年01月01日00:00,13.2
﻿糯扎渡,100.27,22.59,1170,2020年01月01日00:00,15.5
﻿富岩,99.41,22.38,1500,2020年01月01日00:00,14.8
﻿景信,99.67,22.45,1042,2020年01月01日00:00,15
﻿公信,99.33,22.32,1344.2,2020年01月01日00:00,16
﻿勐马,99.38,22.24,926.3,2020年01月01日00:00,15.6
﻿徐家坝,101.03,24.54,2491,2020年01月01日00:00,6
﻿温卜村,100.74,24.48,1667,2020年01月01日00:00,12.3
﻿大寨子,100.7,24.35,2055,2020年01月01日00:00,10
﻿苍文村,100.64,24.1,1982,2020年01月01日00:00,11.2
﻿大风垭口隧道,101.72,23.52,1728,2020年01月01日00:00,13.4
﻿老苍坡隧道,101.58,23.36,1318,2020年01月01日00:00,15
﻿通关收费站,101.38,23.3,1487,2020年01月01日00:00,13.7
﻿臭水收费站,101.16,23.26,1020,2020年01月01日00:00,14.7
﻿宁洱隧道,101.15,23.09,1545,2020年01月01日00:00,13.1
﻿普洱隧道,101,22.86,1512,2020年01月01日00:00,13.8
﻿曼歇坝隧道,100.94,22.75,1286,2020年01月01日00:00,15.7
﻿南岛河,101,22.61,994,2020年01月01日00:00,15.3
﻿新会村,101.06,24.11,1076,2020年01月01日00:00,13.3
﻿后河村,100.54,24.35,1608,2020年01月01日00:00,12.8
﻿秀龙村,101.12,24.34,1819,2020年01月01日00:00,12.5
﻿南岛河咖啡,101.01,22.61,1070,2020年01月01日00:00,15.6
﻿芒信,99.58,22.16,937,2020年01月01日00:00,15.8
﻿田坝,100.99,23.69,1621,2020年01月01日00:00,11.5
﻿双河,99.88,26.59,2347,2020年01月01日00:00,3.3
﻿刘厂蔬菜基地,100.75,25.48,1970,2020年01月01日00:00,8.8
﻿苍山西镇光明,100.03,25.67,2143,2020年01月01日00:00,8.6
﻿鸡头村,103.59,25.48,2012.1,2020年01月01日00:00,10.3
﻿张安屯,103.65,25.57,1869.4,2020年01月01日00:00,10.6
﻿昆玉高速路政管理,102.78,24.79,1900,2020年01月01日00:00,12.4
﻿昆玉高速澄江出口,102.78,24.79,1900,2020年01月01日00:00,12
﻿昆玉高速余家海站,102.65,24.66,1970,2020年01月01日00:00,11.9
﻿人民东路,102.72,25.04,1920,2020年01月01日00:00,12.9
﻿金星立交桥,102.72,25.08,1930,2020年01月01日00:00,12.7
﻿霖雨路,102.74,25.11,1950,2020年01月01日00:00,12.1
﻿煤机厂,102.75,25.07,1930,2020年01月01日00:00,11.6
﻿圆通山北门,102.71,25.06,1921,2020年01月01日00:00,12.1
﻿烟厂信用社,102.72,25.11,1920,2020年01月01日00:00,12
﻿篆塘,102.69,25.04,1880,2020年01月01日00:00,12.6
﻿丰宁,102.68,25.06,1880,2020年01月01日00:00,12.7
﻿小屯立交,102.67,25.07,1917,2020年01月01日00:00,12.2
﻿西福景苑,102.65,25.05,1917,2020年01月01日00:00,12
﻿市政中心4号楼,102.83,24.88,1917,2020年01月01日00:00,12
﻿云南大学,102.84,24.83,1941,2020年01月01日00:00,12.1
﻿中医学院,102.82,24.84,1949,2020年01月01日00:00,12.1
﻿曙光社区,102.74,25.04,1985,2020年01月01日00:00,12.8
﻿凉亭,102.77,25.03,1965,2020年01月01日00:00,12
﻿白得邑,102.75,24.99,1894,2020年01月01日00:00,12.8
﻿福海,102.68,25.01,1910,2020年01月01日00:00,11.8
﻿明波立交桥,102.67,25.02,1880,2020年01月01日00:00,11.9
﻿永昌,102.7,25.02,1915,2020年01月01日00:00,12.9
﻿金碧,102.71,25.03,1907,2020年01月01日00:00,12.8
﻿小河迴流,102.84,25.19,2020,2020年01月01日00:00,9.2
﻿麦地冲,102.87,25.34,2250,2020年01月01日00:00,8.8
﻿法克头,102.76,25.34,2290,2020年01月01日00:00,9.3
﻿马军,102.83,25.33,2140,2020年01月01日00:00,7.8
﻿寻甸甸沙海尾,103.11,25.62,2196,2020年01月01日00:00,9.4
﻿柴河,102.69,24.6,1955,2020年01月01日00:00,9.8
﻿晋城大河,102.77,24.54,2063,2020年01月01日00:00,11
﻿金马街道,102.75,25.04,1927,2020年01月01日00:00,12.6
﻿小板桥,102.77,24.98,1917,2020年01月01日00:00,12.6
﻿太和街道,102.72,25.03,1944,2020年01月01日00:00,12.8
﻿莲华,102.71,25.08,1923,2020年01月01日00:00,12.2
﻿青龙水库,102.67,25.24,1915,2020年01月01日00:00,10.1
﻿大观站,102.7,25.03,1920,2020年01月01日00:00,12.8
﻿龙翔站,102.69,25.05,2000,2020年01月01日00:00,12.8
﻿护国站,102.71,25.05,2000,2020年01月01日00:00,12.8
﻿玉案山,102.63,25.08,2186,2020年01月01日00:00,10.3
﻿虚凝寺,102.71,25.11,2015,2020年01月01日00:00,11.6
﻿河口镇,103.37,25.64,1868,2020年01月01日00:00,11.2
﻿先锋,103,25.49,2034,2020年01月01日00:00,8.7
﻿六哨乡,102.97,25.62,2360,2020年01月01日00:00,8.6
﻿道院村,103.29,25.55,1872,2020年01月01日00:00,10.7
﻿和平,103.26,25.5,1866,2020年01月01日00:00,11.2
﻿摆宰,103.19,25.66,2187,2020年01月01日00:00,10.9
﻿长箐村,102.86,25.62,2203,2020年01月01日00:00,8.5
﻿松林村,102.91,25.55,2267,2020年01月01日00:00,8.9
﻿木刻村,102.9,25.51,2209,2020年01月01日00:00,9.9
﻿纲纪村,103.35,25.78,2089,2020年01月01日00:00,10.8
﻿白龙村,103.33,25.82,2152,2020年01月01日00:00,9.7
﻿尹武村,103.43,25.81,1935,2020年01月01日00:00,10.7
﻿以则村,103.26,25.67,1900,2020年01月01日00:00,10.6
﻿马嘎村,103.19,25.72,2350,2020年01月01日00:00,8.5
﻿八岔哨村,103.28,25.79,2010,2020年01月01日00:00,10.5
﻿鲁冲,103.34,25.61,1923,2020年01月01日00:00,10.2
﻿化桃箐,103.4,25.7,2053,2020年01月01日00:00,9.7
﻿海嘎,103.43,25.76,2098,2020年01月01日00:00,10
﻿水冒田,103.46,25.67,2205,2020年01月01日00:00,9.7
﻿打磨箐村,102.96,25.45,2458,2020年01月01日00:00,8
﻿大窝铺村,102.97,25.53,2589,2020年01月01日00:00,7.2
﻿五星村,102.94,25.69,2690,2020年01月01日00:00,6.4
﻿龙泉村,102.92,25.62,2390,2020年01月01日00:00,8
﻿古城,102.79,25.62,2064,2020年01月01日00:00,9.5
﻿彩己,102.8,25.7,2119,2020年01月01日00:00,8.3
﻿鲁六村,103.07,25.65,2383,2020年01月01日00:00,8.9
﻿兴隆村,103.11,25.75,1836,2020年01月01日00:00,11.8
﻿沙锅村,102.54,24.81,1900,2020年01月01日00:00,9.8
﻿团结朵亩,102.43,25.15,2061,2020年01月01日00:00,9.6
﻿海口中平,102.54,24.8,1890,2020年01月01日00:00,10.9
﻿团结大兴,102.56,25,2100,2020年01月01日00:00,9
﻿团结和平,102.54,25.07,2119,2020年01月01日00:00,8.9
﻿团结雨花,102.59,25.08,2185,2020年01月01日00:00,7.3
﻿团结永靖,102.56,25.12,2200,2020年01月01日00:00,8.5
﻿大渔月角,102.79,24.83,1887,2020年01月01日00:00,12.4
﻿松华街道,102.74,25.25,2159,2020年01月01日00:00,9.4
﻿苏海,102.87,25.29,1990,2020年01月01日00:00,9.8
﻿阿子营牧羊,102.84,25.4,2162,2020年01月01日00:00,7.9
﻿阿子营甸头,102.85,25.41,2130,2020年01月01日00:00,8.6
﻿双龙麦冲,102.8,25.09,2015,2020年01月01日00:00,9.4
﻿滇源小营,102.86,25.25,1978,2020年01月01日00:00,9.6
﻿滇源三转弯,102.86,25.39,2387,2020年01月01日00:00,8.5
﻿振峰都市农庄,102.66,25.18,1900,2020年01月01日00:00,8.2
﻿普吉街道办事处,102.67,25.09,1890,2020年01月01日00:00,11.8
﻿东村村委会,102.66,25.17,1920,2020年01月01日00:00,9
﻿汤池,103.05,24.96,1776,2020年01月01日00:00,11.6
﻿北斗村,102.98,24.85,1786,2020年01月01日00:00,12.8
﻿铜牛寺水库,102.84,25.04,1974,2020年01月01日00:00,10.4
﻿宰割村,103.1,25.04,2255,2020年01月01日00:00,9.4
﻿大平地村,103.03,24.81,2064,2020年01月01日00:00,10.6
﻿朝阳村站,102.36,24.69,1922,2020年01月01日00:00,9.7
﻿窑坡村站,102.39,24.72,1928,2020年01月01日00:00,11.3
﻿青龙哨村,102.34,24.96,1880,2020年01月01日00:00,9.3
﻿邵九村,102.33,24.92,1879,2020年01月01日00:00,9.2
﻿白塔村,102.34,24.99,1813,2020年01月01日00:00,8.8
﻿大营村,103.08,25.36,1937,2020年01月01日00:00,11.1
﻿龙街村,103.08,25.25,1939,2020年01月01日00:00,11.2
﻿布能村,103.01,25.32,1938,2020年01月01日00:00,10.9
﻿大坡村,103.07,25.34,2059,2020年01月01日00:00,10.7
﻿东山村,102.95,25.29,1934,2020年01月01日00:00,11.2
﻿杨林新村,103.05,25.26,1931,2020年01月01日00:00,11.6
﻿积德村,103.1,25.35,1936,2020年01月01日00:00,11.5
﻿本纳克小学,103.09,25.34,1933,2020年01月01日00:00,11.3
﻿海潮村,103.07,25.26,1913,2020年01月01日00:00,11.7
﻿四营下马坊,103.13,25.25,1961,2020年01月01日00:00,11.9
﻿腰站村,103.17,25.29,1919,2020年01月01日00:00,10.8
﻿东门,102.75,24.71,1910,2020年01月01日00:00,12.2
﻿兴隆,102.59,24.69,1903,2020年01月01日00:00,11.3
﻿韩家营,102.57,24.59,1925,2020年01月01日00:00,10.8
﻿清水河村,102.57,24.56,1968,2020年01月01日00:00,11
﻿海龙村,102.62,24.56,2096,2020年01月01日00:00,10.9
﻿十里村,102.76,24.65,1922,2020年01月01日00:00,11.4
﻿盐井村,102.77,24.63,1949,2020年01月01日00:00,11.2
﻿富有村,102.77,24.74,1900,2020年01月01日00:00,12
﻿石寨村,102.69,24.72,1893,2020年01月01日00:00,12
﻿新寨村,102.7,24.49,2049,2020年01月01日00:00,10
﻿保安村,102.25,24.46,1591,2020年01月01日00:00,12.2
﻿绿溪村,102.31,24.49,1928.7,2020年01月01日00:00,9.9
﻿款庄镇,102.67,25.45,1650,2020年01月01日00:00,10.8
﻿赤鹫,102.51,25.36,1665,2020年01月01日00:00,11.2
﻿罗免镇政府,102.46,25.34,1739,2020年01月01日00:00,10.6
﻿永定永安,102.51,25.19,1729.8,2020年01月01日00:00,11.3
﻿永定松林,102.52,25.16,1945,2020年01月01日00:00,10.2
﻿永定白石岩,102.5,25.31,1977.5,2020年01月01日00:00,11.6
﻿永定三村,102.58,25.21,1767,2020年01月01日00:00,10
﻿东村祖库,102.71,25.56,2070,2020年01月01日00:00,10.9
﻿东村中民,102.73,25.54,1850,2020年01月01日00:00,11.6
﻿款庄拖卓,102.6,25.41,2001.3,2020年01月01日00:00,10.5
﻿赤鹫龙潭,102.52,25.42,1944.6,2020年01月01日00:00,11.3
﻿甸头,102.7,25.34,1944,2020年01月01日00:00,9
﻿九乡风景区,103.38,25.07,1835,2020年01月01日00:00,11.1
﻿尼龙,103.26,25.14,1680,2020年01月01日00:00,11.2
﻿前卫小学,103.35,25.3,1712,2020年01月01日00:00,9.8
﻿山后,103.23,24.94,1760,2020年01月01日00:00,13.4
﻿明月,103.35,25.12,1740,2020年01月01日00:00,10.4
﻿小哨,103.18,24.71,1833,2020年01月01日00:00,12.2
﻿白泥磨,103.06,24.61,2066,2020年01月01日00:00,12.4
﻿玉龙,103.18,24.84,1590,2020年01月01日00:00,12.8
﻿米户,103.17,25.11,1803,2020年01月01日00:00,10.8
﻿德马,103.34,25.06,1877,2020年01月01日00:00,11.8
﻿甸尾,103.44,25.11,1851,2020年01月01日00:00,10.5
﻿路纳,103.28,24.92,1474,2020年01月01日00:00,13.8
﻿龙保,103.16,24.77,1593,2020年01月01日00:00,14.4
﻿海邑小学,103.56,24.64,1938,2020年01月01日00:00,10.6
﻿清水塘,103.35,24.79,1829,2020年01月01日00:00,12.1
﻿站屯,103.36,24.91,1864,2020年01月01日00:00,11.9
﻿小密枝,103.32,24.93,1944,2020年01月01日00:00,12
﻿北小村村,103.39,24.85,1892,2020年01月01日00:00,12
﻿小河村,103.29,24.88,1771,2020年01月01日00:00,11.9
﻿格渣,103.61,24.76,2095,2020年01月01日00:00,10
﻿宜柰村,103.6,24.84,2091,2020年01月01日00:00,10.8
﻿糯黑,103.53,24.67,1988,2020年01月01日00:00,10.7
﻿尾乍黑村,103.51,24.58,1838,2020年01月01日00:00,10.5
﻿法块,103.6,24.61,1796,2020年01月01日00:00,12.4
﻿水尾村,103.2,24.55,1694,2020年01月01日00:00,12.9
﻿祖莫,103.45,24.74,1946,2020年01月01日00:00,11.3
﻿舍色村,103.4,24.66,1910,2020年01月01日00:00,11.5
﻿海宜,103.46,24.81,2012,2020年01月01日00:00,11.2
﻿中屏,102.59,25.85,2563,2020年01月01日00:00,7.1
﻿屏山镇旧铁厂水库,102.39,25.66,2273,2020年01月01日00:00,8.9
﻿屏山镇战备水库,102.54,25.54,1896,2020年01月01日00:00,9.9
﻿芝兰,102.47,26.05,2153,2020年01月01日00:00,6.7
﻿茂山,102.54,25.68,2250,2020年01月01日00:00,10
﻿荨麻箐,102.64,26.05,2457,2020年01月01日00:00,5.7
﻿九华,102.75,25.73,2050,2020年01月01日00:00,7.9
﻿大河边水库,102.49,26.13,2410,2020年01月01日00:00,6.5
﻿半角,102.45,26.19,2158,2020年01月01日00:00,7.3
﻿安福村,102.68,25.95,2304,2020年01月01日00:00,9.6
﻿拖布卡镇,103.04,26.37,1941,2020年01月01日00:00,12.9
﻿田坝村,103.08,26.22,2250,2020年01月01日00:00,6.6
﻿风景村,102.99,26.19,2698,2020年01月01日00:00,12
﻿乌龙园子村,103.07,26.03,1987,2020年01月01日00:00,10.6
﻿乌龙半坡村,103.07,26.01,1912,2020年01月01日00:00,12.6
﻿乌龙包包村,103.11,26.16,1745,2020年01月01日00:00,16.8
﻿新村村,103.25,26.12,1235,2020年01月01日00:00,16.5
﻿营盘村,103.15,26.16,2213,2020年01月01日00:00,12.6
﻿牛街社区,102.99,25.83,2052,2020年01月01日00:00,8.6
﻿马店村委会,103,25.94,2318,2020年01月01日00:00,8.5
﻿金源,103.13,25.85,1625,2020年01月01日00:00,13.8
﻿卡机村委会,102.79,26.03,2308,2020年01月01日00:00,10
﻿茂麓村,102.84,26.31,1002,2020年01月01日00:00,18.9
﻿云坪村,102.86,26.26,3024,2020年01月01日00:00,4.5
﻿新乐村,102.98,26.07,2240,2020年01月01日00:00,10.5
﻿银水箐村,102.94,26.08,2431,2020年01月01日00:00,9.3
﻿花沟村,103.05,25.54,2315,2020年01月01日00:00,7.8
﻿仓房村委会,103.05,25.99,2170,2020年01月01日00:00,9
﻿毛坝子村,102.95,26.01,2953,2020年01月01日00:00,6
﻿鲁嘎村委会,102.9,25.72,2151,2020年01月01日00:00,8.7
﻿虎街村,102.89,25.86,1997,2020年01月01日00:00,9.5
﻿骂秧村,102.93,25.88,2061,2020年01月01日00:00,8.9
﻿杨家湾村,103.08,25.88,2099,2020年01月01日00:00,8.6
﻿合理村,103.05,25.85,2076,2020年01月01日00:00,8.5
﻿凤合大麦地,103.01,25.76,2247,2020年01月01日00:00,8.6
﻿多姑村,103.05,25.8,2489,2020年01月01日00:00,7.3
﻿松棵村,103,25.96,2463,2020年01月01日00:00,8.5
﻿三界村委会,102.92,25.98,2469,2020年01月01日00:00,6.1
﻿落水洞村委会,102.98,25.9,2401,2020年01月01日00:00,7.5
﻿安丰村,103.05,25.79,1724,2020年01月01日00:00,11.3
﻿沧溪村,103.13,25.89,1575,2020年01月01日00:00,14.7
﻿则邑村委会,102.8,25.9,2357,2020年01月01日00:00,8
﻿恩祖村委会,102.85,26,1293,2020年01月01日00:00,9.1
﻿中槽子,102.88,26.04,2334,2020年01月01日00:00,5.3
﻿以代块村委会,102.85,25.95,2011,2020年01月01日00:00,8.3
﻿乐作泥村委会,102.74,25.99,1641,2020年01月01日00:00,16
﻿幸福村委会,102.79,25.97,2364,2020年01月01日00:00,8.4
﻿基多村委会,102.8,26.2,2310,2020年01月01日00:00,12.7
﻿方旺社区,102.79,25.03,1962,2020年01月01日00:00,11.5
﻿关锁,102.76,24.93,1897,2020年01月01日00:00,11.9
﻿羊甫,102.78,24.97,1940,2020年01月01日00:00,12.6
﻿中闸,102.74,24.98,1923,2020年01月01日00:00,12.9
﻿福保,102.69,24.94,1919,2020年01月01日00:00,12.7
﻿牛街,102.77,25.01,1922,2020年01月01日00:00,12.4
﻿十里,102.76,25.03,1967,2020年01月01日00:00,12.2
﻿区气象局,102.7,25.94,1891,2020年01月01日00:00,12.1
﻿王官,102.76,24.91,1900,2020年01月01日00:00,12.5
﻿中营,102.74,24.95,1892,2020年01月01日00:00,12.8
﻿金殿公园,102.77,25.09,2060,2020年01月01日00:00,10.9
﻿海埂公园,102.67,24.96,1820,2020年01月01日00:00,12.3
﻿观音山小学,102.66,24.84,1885,2020年01月01日00:00,11.1
﻿棋盘山,102.58,25.05,2493,2020年01月01日00:00,8
﻿荷叶山公园,102.69,25.07,1955,2020年01月01日00:00,12.2
﻿宝丰,102.72,24.94,1913,2020年01月01日00:00,12.3
﻿宝象河水库,102.93,25.04,2077,2020年01月01日00:00,9.8
﻿关上,102.74,25.01,1908,2020年01月01日00:00,12.9
﻿白龙潭公园,102.84,24.88,1959,2020年01月01日00:00,11.3
﻿三台山公园,102.8,24.9,1938,2020年01月01日00:00,11.8
﻿广卫,102.79,24.96,1916,2020年01月01日00:00,12.4
﻿西庄,102.76,24.97,1905,2020年01月01日00:00,12.9
﻿羊街镇,103.12,25.44,1939,2020年01月01日00:00,11
﻿柯渡镇,102.85,25.55,1839,2020年01月01日00:00,8.8
﻿功山镇,103.26,25.74,1876,2020年01月01日00:00,10.4
﻿七星镇,103.33,25.54,1879,2020年01月01日00:00,10.9
﻿鸡街镇,102.78,25.64,2041,2020年01月01日00:00,8.5
﻿甸沙,103.11,25.69,1972,2020年01月01日00:00,10.5
﻿双龙乌龙,102.85,25.11,2154,2020年01月01日00:00,9.5
﻿兰茂小学,103.06,25.24,1940,2020年01月01日00:00,11.3
﻿嘉陵小学,103.13,25.31,1906,2020年01月01日00:00,10.6
﻿新营小学,103.13,25.28,1906,2020年01月01日00:00,11.1
﻿东村镇,102.67,25.52,1640,2020年01月01日00:00,11.1
﻿散旦镇,102.66,25.31,1850,2020年01月01日00:00,9.7
﻿宜良狗街,103.14,24.79,1596,2020年01月01日00:00,13.8
﻿北古城,103.19,24.98,1560,2020年01月01日00:00,13.5
﻿宜良耿家营,103.4,25.03,1737,2020年01月01日00:00,12.8
﻿大可小学,103.24,24.62,1689,2020年01月01日00:00,12.8
﻿维则小学,103.41,24.71,1929,2020年01月01日00:00,11.8
﻿撒营盘,102.53,26,2237,2020年01月01日00:00,8
﻿茂山镇,102.51,25.69,1719,2020年01月01日00:00,8.5
﻿云龙乡,102.42,25.85,2202,2020年01月01日00:00,7.8
﻿涡旋糖林场,102.57,25.59,1986,2020年01月01日00:00,9.9
﻿九龙,102.77,25.73,2072,2020年01月01日00:00,8.3
﻿真金万林厂,102.52,25.83,1914,2020年01月01日00:00,8.3
﻿皎平渡,102.45,26.13,2230,2020年01月01日00:00,6.8
﻿汤丹,103.07,26.18,2163,2020年01月01日00:00,10.1
﻿阿旺,103.25,25.92,1479,2020年01月01日00:00,15.7
﻿舍块村委会,102.83,26.24,1884,2020年01月01日00:00,13.1
﻿法者村委会,103.02,26.03,2412,2020年01月01日00:00,9
﻿月牙村委会,102.87,25.9,1990,2020年01月01日00:00,9.2
﻿雪山风景区,102.84,26.09,2612,2020年01月01日00:00,8.3
﻿金所园区,103.2,25.55,2027,2020年01月01日00:00,10.1
﻿阳宗海管委会,103.02,24.91,1775,2020年01月01日00:00,10.2
﻿西街口,103.52,24.83,1982,2020年01月01日00:00,11.9
﻿台创园,103.36,24.89,1864,2020年01月01日00:00,10.9
﻿大板桥集镇片区,102.88,25.05,1922,2020年01月01日00:00,10.5
﻿秧草凹片区,102.99,25.11,2137,2020年01月01日00:00,10.3
﻿矣纳,102.98,25.19,1970,2020年01月01日00:00,10.5
﻿倘甸,102.91,25.75,2149,2020年01月01日00:00,8.7
﻿滇源甸尾,102.87,25.21,1980,2020年01月01日00:00,8.7
﻿甸心,102.6,24.72,1893,2020年01月01日00:00,11.6
﻿恢厂村,102.59,24.74,1907,2020年01月01日00:00,12.2
﻿余家海,102.63,24.64,1976,2020年01月01日00:00,10.3
﻿昆明前卫,102.54,24.56,1951,2020年01月01日00:00,9.8
﻿栗庙,102.53,24.7,2032,2020年01月01日00:00,10.6
﻿锁溪渡,102.47,24.73,1921,2020年01月01日00:00,9.9
﻿法古甸,102.35,24.5,2127,2020年01月01日00:00,8.6
﻿高粱地,102.23,24.5,1580,2020年01月01日00:00,13.2
﻿打黑,102.31,24.43,2118,2020年01月01日00:00,9.2
﻿火石坡,102.78,24.57,2105,2020年01月01日00:00,10.9
﻿晋城石碑,102.74,24.67,1923,2020年01月01日00:00,12
﻿青龙学校,102.32,25.02,1830,2020年01月01日00:00,8.9
﻿太平学校,102.59,24.95,1890,2020年01月01日00:00,9.5
﻿凤仪水库,102.36,24.67,1953,2020年01月01日00:00,10.3
﻿实验学校,102.46,24.9,1875,2020年01月01日00:00,10.4
﻿柯渡新沙,102.86,25.49,1915,2020年01月01日00:00,9.5
﻿马街中路,102.64,25.03,1907,2020年01月01日00:00,12.5
﻿普坪社区,102.63,25.02,1937,2020年01月01日00:00,11.4
﻿马街社区,102.63,25.04,1901,2020年01月01日00:00,11.4
﻿八街招霸村,102.42,24.65,1978,2020年01月01日00:00,7.8
﻿八街磨南德村,102.33,24.54,2115,2020年01月01日00:00,9.7
﻿八街大龙洞村,102.3,24.55,2045,2020年01月01日00:00,9.7
﻿八街相连村,102.31,24.63,2091,2020年01月01日00:00,10.6
﻿八街车木河水库,102.36,24.62,1958,2020年01月01日00:00,9.6
﻿县街马场村,102.37,24.77,1986,2020年01月01日00:00,8.9
﻿县街小箐口村,102.35,24.8,1963,2020年01月01日00:00,9.7
﻿县街下石江村,102.44,24.88,1864,2020年01月01日00:00,10
﻿县街鸣矣河小学,102.43,24.79,1895,2020年01月01日00:00,9.9
﻿禄裱艾家营村,102.23,24.94,1862,2020年01月01日00:00,9.8
﻿禄裱滑石板村,102.2,25.09,2195,2020年01月01日00:00,9.7
﻿禄裱北冲村,102.21,25.02,1971,2020年01月01日00:00,8.5
﻿禄裱上禄裱村,102.28,24.96,1866,2020年01月01日00:00,9.7
﻿青龙双湄村,102.29,25.01,1839,2020年01月01日00:00,8.1
﻿草铺王家滩村,102.32,24.89,1800,2020年01月01日00:00,9.2
﻿温泉官庄村,102.39,24.99,1834,2020年01月01日00:00,8.1
﻿温泉后山崀村,102.43,24.99,1859,2020年01月01日00:00,8.9
﻿温泉水厂,102.45,24.97,1856,2020年01月01日00:00,9.5
﻿金方思邑村,102.49,24.88,1898,2020年01月01日00:00,9.5
﻿金方普河村,102.53,24.89,1891,2020年01月01日00:00,9.5
﻿金方凌波社区,102.5,24.89,1910,2020年01月01日00:00,11.5
﻿太平读书铺村,102.55,24.95,1889,2020年01月01日00:00,10.7
﻿二街廉租房,102.48,24.7,1930,2020年01月01日00:00,9.5
﻿晋宁七中,102.69,24.68,1918,2020年01月01日00:00,12
﻿六街敬老院,102.69,24.52,1975,2020年01月01日00:00,9.6
﻿双河幼儿园,102.43,24.57,1995,2020年01月01日00:00,8.7
﻿沙沟,102.9,25.05,2009,2020年01月01日00:00,9.9
﻿自卫村水库,102.64,25.11,1940,2020年01月01日00:00,10.2
﻿核桃箐,102.7,25.09,1990,2020年01月01日00:00,10.5
﻿轿子山大黑箐,102.85,26.08,3790,2020年01月01日00:00,-2.5
﻿昆明滇池国际会展中心,102.7,24.94,1885,2020年01月01日00:00,12.3
﻿圆通山,102.71,25.06,1918,2020年01月01日00:00,12.6
﻿月湖水库,103.44,24.83,1934,2020年01月01日00:00,11.2
﻿二街,102.48,24.68,1942,2020年01月01日00:00,10
﻿长湖,103.4,24.71,1917,2020年01月01日00:00,11.7
﻿三角水库,103.6,24.7,2113,2020年01月01日00:00,10.4
﻿嵩阳,103.04,25.34,1921,2020年01月01日00:00,11.7
﻿杨林,103.06,25.25,1918,2020年01月01日00:00,11.8
﻿杨桥,103.04,25.31,1914,2020年01月01日00:00,11.1
﻿板桥中学,103.25,24.68,1685,2020年01月01日00:00,13.1
﻿双龙集贸市场,103.27,24.76,1679,2020年01月01日00:00,13.6
﻿复兴水库,102.88,25.1,2057,2020年01月01日00:00,9
﻿功山,103.26,25.74,1933,2020年01月01日00:00,10.6
﻿七星,103.33,25.53,1890,2020年01月01日00:00,11.3
﻿下对龙,102.97,25.21,2016,2020年01月01日00:00,10.6
﻿温泉,102.45,24.97,1920,2020年01月01日00:00,9.5
﻿兔耳,102.93,25.2,2149,2020年01月01日00:00,10.1
﻿乌西,102.95,25.13,2059,2020年01月01日00:00,10.4
﻿县街学校,102.41,25.19,1895,2020年01月01日00:00,9.9
﻿花箐,102.92,25.12,2021,2020年01月01日00:00,9
﻿禄裱,102.27,24.97,1880,2020年01月01日00:00,9.8
﻿马街,103.21,25.2,1732,2020年01月01日00:00,10.7
﻿白汉,102.96,25.17,2060,2020年01月01日00:00,10.4
﻿一朵云,102.97,25,2189,2020年01月01日00:00,8.9
﻿狗街,103.14,24.79,1532,2020年01月01日00:00,13.9
﻿长水机场,102.93,25.08,2080,2020年01月01日00:00,10.5
﻿款庄,102.67,25.34,1650,2020年01月01日00:00,11.4
﻿金方,102.5,24.88,1840,2020年01月01日00:00,11.5
